Old Name,Acct #,Meter #,Activity Code,Usage Date,Gallons,Current $
FIRE15,9000-1702-5017,Fire15,FP2501,6/1/2024,0,$195.17 
FIRE16,9000-1702-6015,Fire16,FP2601,6/1/2024,0,$195.17 
FIRE17,9000-1702-7013,Fire17,FP2701,6/1/2024,0,$195.17 
Geo. R. Brown -Fire,9000-1602-0019,70246142,FP0019,6/1/2024,"1,000",$493.13 
Main Feed #1 Current chg,4328-6251-5017,18682076,CP7018,6/1/2024,"8,942,000","$167,760.85 "
Evap Credits $ only,4328-6251-5017,NP-EVAP,CP6253A,6/1/2024,0,"($73,339.83)"
Wiess College,4327-8232-9010,70078262,CP9010,6/1/2024,"3,198,000","$60,085.21 "
Wiess College Credit,4327-8232-9010,SP-EVAP,CP9010A,6/1/2024,0,"($32,927.83)"
Water Well,5010-0001-8017,911279,CP8017,6/1/2024,"2,368,000","$25,240.42 "
Alice Pratt Brown,9000-1599-9015,70111007,CP9015,6/1/2024,"93,500","$1,796.73 "
Anderson Clarke,9000-1602-1017,70278487,CP1017,6/1/2024,"200,000","$4,318.18 "
Annex Building,9000-1598-3019,10251022,CP3019,6/1/2024,"14,000",$310.87 
Baker Hall,4327-3330-2017,70247885,CP2017,6/1/2024,"12,000",$428.63 
BRC,4328-4330-1016,8528116,CP1016,6/1/2024,"251,000","$5,268.82 "
Cambridge Office Bldg,8510-0946-1019,70336306,CP1019,6/1/2024,"28,000",$996.91 
Dell Butcher ,4327-3548-8012,70246143,CP8012,6/1/2024,"44,500","$1,066.72 "
Football Stadium,9000-1598-4017,70109904,CP4017,6/1/2024,"284,000","$5,883.94 "
Jones  School,4327-8726-4014,70075189,CP8726,6/1/2024,"50,000","$1,406.49 "
Library Service Ctr,4328-0629-1014,70120536,CP1014,6/1/2024,"2,000",$627.46 
Martel College,4327-8386-6010,70078261,CP6010,6/1/2024,"331,000","$6,644.33 "
O'Connor Building,8510-0028-9013,70413652,CP9013,6/1/2024,"212,000","$4,542.36 "
President's House,5603-3696-6430,64247,CP6430,6/1/2024,"3,000",$128.47 
Wellness Center,4328-4428-4013,70210599,CP4013,6/1/2024,"113,000","$2,697.00 "
Wellness Center - Pool,4328-4428-4013 L,210485419,CP4013,6/1/2024,"64,000",$837.94 
A-North Lawn,4327-6506-4014,1019851,CP4014,6/1/2024,0,$18.74 
Allen Center Lawn,4327-1267-1010,2259705,CP1010,6/1/2024,"112,000","$1,452.34 "
Anderson Clarke Irrigation,9000-1602-7014,13176324,CP7014,6/1/2024,"72,000",$940.34 
B-South Lawn,4327-6506-5011,208990,CP5011,6/1/2024,"333,000","$4,281.14 "
BRC Lawn,9000-1715-8016,6589556,CP5801,6/1/2024,"60,000",$783.93 
Brockman Hall for Opera Lawn,9000-1354-5018,19491625,CP5018,6/1/2024,"20,000",$274.74 
Cameron Field Lawn,4327-1267-0012,1019880,CP0012,6/1/2024,"217,000","$2,796.34 "
Geo R. Brown Lawn,4327-1267-2018,2259657,CP2018,6/1/2024,"17,000",$236.34 
Intramural Fld Lawn,4327-7743-8016,6561510,CP8016,6/1/2024,"5,000",$82.74 
Lib Service Ctr Lawn,9000-1588-3011,3047766,CP3011,6/1/2024,"144,000","$1,861.94 "
Lovett College Lawn,4328-4952-4017,10019874,CP0018,6/1/2024,"292,000","$3,756.34 "
North College Lawn ,4328-4699-6010,9064832,LN6010,6/1/2024,"11,000",$159.54 
Pres. House. Lawn,4328-1122-2012,3046702,CP2012,6/1/2024,"152,000","$1,964.34 "
Soccer Field Lawn,4327-8841-2018,66973,CP8841,6/1/2024,"262,000","$3,372.34 "
Wiess Lawn A,4327-8769-4012,13001508,CP4012,6/1/2024,"169,000","$2,181.94 "
Wiess Lawn X,9000-1716-0012,2008211,CP6001,6/1/2024,"25,000",$338.74 
